subject,predicate,object,object_type,lang,datatype
https://www.wikidata.org/entity/Q1065792,http://purl.org/dc/terms/creator,https://www.wikidata.org/entity/Q366261,uri,,
https://www.wikidata.org/entity/Q1065792,http://purl.org/dc/terms/creator,_:n14043ca7e308434399795cae456314b2b1,uri,,
https://www.wikidata.org/entity/Q1065792,http://purl.org/dc/terms/description,Consola portátil de Bandai diseñada por Koto Laboratory bajo la dirección de de Gunpei Yokoi.,literal,es,
https://www.wikidata.org/entity/Q1065792,http://purl.org/dc/terms/identifier,Q1065792,literal,,
https://www.wikidata.org/entity/Q1065792,http://purl.org/dc/terms/publisher,https://www.wikidata.org/entity/Q507269,uri,,
https://www.wikidata.org/entity/Q1065792,http://purl.org/dc/terms/title,WonderSwan,literal,en,
https://www.wikidata.org/entity/Q1065792,http://purl.org/dc/terms/type,https://www.wikidata.org/entity/Q941818,uri,,
https://www.wikidata.org/entity/Q1065792,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://schema.org/Product,uri,,
https://www.wikidata.org/entity/Q1065792,https://schema.org/brand,https://www.wikidata.org/entity/Q507269,uri,,
https://www.wikidata.org/entity/Q1065792,https://schema.org/category,https://www.wikidata.org/entity/Q941818,uri,,
https://www.wikidata.org/entity/Q1065792,https://schema.org/designer,https://www.wikidata.org/entity/Q366261,uri,,
https://www.wikidata.org/entity/Q1065792,https://schema.org/manufacturer,https://www.wikidata.org/entity/Q507269,uri,,
https://www.wikidata.org/entity/Q1065792,https://schema.org/name,WonderSwan,literal,en,
https://www.wikidata.org/entity/Q1065792,https://schema.org/releaseDate,1999-03-04,literal,,http://www.w3.org/2001/XMLSchema#date
https://www.wikidata.org/entity/Q1065792,https://schema.org/sameAs,https://www.wikidata.org/wiki/Q1065792,uri,,
https://www.wikidata.org/entity/Q12397,http://purl.org/dc/terms/contributor,https://www.wikidata.org/entity/Q366261,uri,,
https://www.wikidata.org/entity/Q12397,http://purl.org/dc/terms/description,Serie de videojuegos de acción y aventura publicada por Nintendo. Gunpei Yokoi participó como una de las figuras clave de sus primeros desarrollos.,literal,es,
https://www.wikidata.org/entity/Q12397,http://purl.org/dc/terms/identifier,Q12397,literal,,
https://www.wikidata.org/entity/Q12397,http://purl.org/dc/terms/publisher,https://www.wikidata.org/entity/Q8093,uri,,
https://www.wikidata.org/entity/Q12397,http://purl.org/dc/terms/title,Metroid,literal,en,
https://www.wikidata.org/entity/Q12397,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://schema.org/VideoGameSeries,uri,,
https://www.wikidata.org/entity/Q12397,https://schema.org/character,https://www.wikidata.org/entity/Q12400,uri,,
https://www.wikidata.org/entity/Q12397,https://schema.org/datePublished,1986-08-06,literal,,http://www.w3.org/2001/XMLSchema#date
https://www.wikidata.org/entity/Q12397,https://schema.org/genre,https://www.wikidata.org/entity/Q19643088,uri,,
https://www.wikidata.org/entity/Q12397,https://schema.org/genre,https://www.wikidata.org/entity/Q343568,uri,,
https://www.wikidata.org/entity/Q12397,https://schema.org/image,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Metroid_Logo_2017.svg/1920px-Metroid_Logo_2017.svg.png,uri,,
https://www.wikidata.org/entity/Q12397,https://schema.org/name,Metroid,literal,en,
https://www.wikidata.org/entity/Q12397,https://schema.org/producer,https://www.wikidata.org/entity/Q366261,uri,,
https://www.wikidata.org/entity/Q12397,https://schema.org/sameAs,https://www.wikidata.org/wiki/Q12397,uri,,
https://www.wikidata.org/entity/Q12400,http://id.loc.gov/vocabulary/relators/cre,https://www.wikidata.org/entity/Q3280923,uri,,
https://www.wikidata.org/entity/Q12400,http://id.loc.gov/vocabulary/relators/dsr,https://www.wikidata.org/entity/Q3136254,uri,,
https://www.wikidata.org/entity/Q12400,http://purl.org/dc/terms/contributor,https://www.wikidata.org/entity/Q3136254,uri,,
https://www.wikidata.org/entity/Q12400,http://purl.org/dc/terms/creator,https://www.wikidata.org/entity/Q3280923,uri,,
https://www.wikidata.org/entity/Q12400,http://purl.org/dc/terms/description,"Personaje ficticio de la serie de videojuegos Metroid, protagonista principal de la saga.",literal,es,
