subject,predicate,object,object_type,lang,datatype
https://www.wikidata.org/entity/Q252485,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://schema.org/VisualArtwork,uri,,
https://www.wikidata.org/entity/Q252485,http://purl.org/dc/terms/title,The Great Wave off Kanagawa,literal,en,
https://www.wikidata.org/entity/Q252485,http://purl.org/dc/terms/title,Under the Wave off Kanagawa,literal,en,
https://www.wikidata.org/entity/Q252485,http://purl.org/dc/terms/title,La gran ola de Kanagawa,literal,es,
https://www.wikidata.org/entity/Q252485,http://purl.org/dc/terms/alternative,Kanagawa oki nami ura,literal,ja-Latn,
https://www.wikidata.org/entity/Q252485,http://purl.org/dc/terms/alternative,神奈川沖浪裏,literal,ja,
https://www.wikidata.org/entity/Q252485,http://purl.org/dc/terms/creator,https://www.wikidata.org/entity/Q5586,uri,,
https://www.wikidata.org/entity/Q252485,http://purl.org/dc/terms/description,"Colour woodblock print designed by Katsushika Hokusai, from the series Thirty-six Views of Mount Fuji.",literal,en,
https://www.wikidata.org/entity/Q252485,http://purl.org/dc/terms/created,1831,literal,,http://www.w3.org/2001/XMLSchema#gYear
https://www.wikidata.org/entity/Q252485,http://purl.org/dc/terms/date,ca. 1830-1832,literal,,
https://www.wikidata.org/entity/Q252485,http://purl.org/dc/terms/type,https://schema.org/VisualArtwork,uri,,
https://www.wikidata.org/entity/Q252485,http://purl.org/dc/terms/subject,https://www.wikidata.org/entity/Q39231,uri,,
https://www.wikidata.org/entity/Q252485,http://purl.org/dc/terms/isPartOf,https://www.wikidata.org/entity/Q227494,uri,,
https://www.wikidata.org/entity/Q252485,http://purl.org/dc/terms/rights,Public domain,literal,en,
https://www.wikidata.org/entity/Q252485,https://schema.org/genre,https://www.wikidata.org/entity/Q185905,uri,,
https://www.wikidata.org/entity/Q252485,https://schema.org/locationCreated,https://www.wikidata.org/entity/Q17,uri,,
https://www.wikidata.org/entity/Q252485,https://schema.org/artMedium,Colour woodblock print. Ink and colour on paper,literal,en,
https://www.wikidata.org/entity/Q252485,https://schema.org/artworkSurface,https://www.wikidata.org/entity/Q11472,uri,,
https://www.wikidata.org/entity/Q252485,https://schema.org/dateCreated,1831,literal,,http://www.w3.org/2001/XMLSchema#gYear
https://www.wikidata.org/entity/Q252485,https://schema.org/height,25.7 cm,literal,,
https://www.wikidata.org/entity/Q252485,https://schema.org/width,37.7 cm,literal,,
https://www.wikidata.org/entity/Q252485,https://schema.org/identifier,Q252485,literal,,
